gender,description,price,stars,reduction
homme,baskets homme - blanc respirante,"1,499 DA",0.0,0.44
homme,nike basket homme - da1105-002 - noir,"8,700 DA",0.0,0.27
homme,adidas basket homme vl court 2.0 fw3774 - noir,"8,500 DA",0.42000000000000004,0.0
homme,adidas baskets homme - fw3774 - noir,"5,525 DA",0.41,0.35
homme,nike baskets homme - ct1726-100 - blanc,"13,600 DA",0.37,0.0
homme,baskets homme - blanc respirante,"1,499 DA - 1,599 DA",0.32999999999999996,0.44
homme,sayt rlae baskets  - sneakers run - noir,"2,800 DA",0.27,0.38
homme,sayt rlae baskets  - sneakers lbs - noir,"3,400 DA",0.3,0.24
homme,nike basket homme - cw3403-003 - noir,"10,700 DA",0.0,0.1
homme,adidas baskets unisexe - sneakers breaknet new look sporty classique fx8707 - blanc,"6,550 DA",0.42000000000000004,0.38
homme,reebok basket  homme - fy7554 - noir,"9,500 DA",0.45,0.23
homme,baskets homme - gris respirante,"1,499 DA",0.32999999999999996,0.44
homme,tonypei baskets espadrilles en bache pour homme rouge et blanche,"1,725 DA",0.5,0.6
homme,nike basket homme - da1105-400 - bleu,"8,700 DA",0.45999999999999996,0.27
homme,adidas basket unisexe - sneaker tensaur légère résistante super soft confortable - bleu,"5,900 DA",0.5,0.25
homme,sayt rlae baskets  - sneakers black friday - beige,"2,990 DA",0.1,0.34
homme,cross hatch baskets montantes plates pour hommes-noir/blanc,"5,250 DA",0.37,0.33
homme,adidas basket homme response sr - gris,"11,300 DA",0.48,0.0
homme,peak basket unisexe - e12547h  - all black,"6,300 DA",0.5,0.09
homme,sport basket espadrille synthétique cuir pour homme blanche et marron,"3,450 DA",0.4,0.0
homme,reebok baskets homme - gz9829 - vert,"10,240 DA",0.4,0.2
homme,nike baskets homme - cj1682-3 - noir,"11,600 DA",0.43,0.0
homme,adidas basket homme - gz5433 - noir,"9,700 DA",0.0,0.15
homme,adidas basket homme - h01990 - noir,"8,300 DA",0.4,0.15
homme,reebok basket homme liquifect 180 2.0 - bleu,"11,900 DA",0.49000000000000005,0.0
homme,hummel basket kiel hummel  black,"6,800 DA",0.39,0.0
homme,palladium basket homme off-grid lo utility - 77172-069-m,"18,900 DA",0.0,0.0
homme,sayt rlae baskets  - sneakers run - rouge,"2,800 DA",0.0,0.38
homme,nike basket homme - da1350-001 - noir,"8,700 DA",0.0,0.27
homme,hummel baskets homme - handewit - noir/blanc,"6,800 DA",0.4,0.0
homme,hi-tec basket homme - h007015/062/006 - multicouleur,"10,900 DA",0.0,0.0
homme,reebok basket  homme - fx1684 - noir & orange,"8,900 DA",0.0,0.24
