gender,description,stars,reduction,new_brand,avg_price,color,uni
femme,esmara baskets - esmara - femme - gris,0.0,0.29,esmara,3.2,gris,1
femme,reebok baskets femme - sneakers royal cl jogger 2 pink - rose,0.0,0.0,reebok,7.9,rose pink,0
femme,stradivarius basket stradivarius - femme,0.0,0.17,stradivarius,4.9,None,1
femme,girlhood basket femme - rose,0.0,0.33,girlhood,3.99,rose,1
femme,esmara baskets– sneakers – esmara – femme – rose,0.0,0.29,esmara,3.2,rose,1
femme,asics gel-quantum 360 knit 2 1022a041-001,0.0,0.0,no name,16.8,None,1
femme,girlhood basket femme - rose clair,0.0,0.33,girlhood,3.99,rose,1
femme,adidas basket femme  -  fv3139 - blanc,0.0,0.0,adidas,9.9,blanc,1
femme,skechers chaussure femme - s124307/nvy - bleu,0.0,0.43,sketchers,6.8,bleu,1
femme,us polo chaussure femme rouge - 1027807vr030,0.4,0.22,us polo,6.55,rouge,1
femme,oggi baskets femmes vert militaire,0.0,0.13,oggi,6.5,vert,1
femme,b3d shoes baskets femme  - en tissu avec semelle compensée  - rose clair.,0.0,0.0,b3d shoes,5.5,rose,1
femme,girlhood basket femme - vert,0.0,0.33,girlhood,3.99,vert,1
femme,b3d shoes basket femme souple  - daim / tissu - beige,0.0,0.0,b3d shoes,5.5,beige,1
femme,adidas basket femme - climacool fresh - gris,0.0,0.19,adidas,6.8,gris,1
femme,b3d shoes basket femme souple  - daim / tissu - blanc  /,0.0,0.35,b3d shoes,5.5,blanc,1
femme,megawell basket femme - souple et orthopédique - noir,0.0,0.0,megawell,4.7,noir,1
femme,geox respira basket femme d825tb,0.0,0.3,geox respira,8.999,None,1
femme,megawell basket femme - souple et orthopédique - gris,0.0,0.0,megawell,4.7,gris,1
femme,kaporal baskets safia - noir,0.5,0.0,kaporal,4.0,noir,1
femme,us polo chaussure sally vert pour femme_100422440,0.0,0.5,us polo,6.225,vert,1
femme,yl basket femme - noir,0.0,0.27,yl,3.2,noir,1
femme,us polo chaussure pour femme - rose-100301303,0.0,0.59,us polo,4.5,None,1
femme,megawell basket femme - souple et orthopédique - vert,0.0,0.0,megawell,4.7,vert,1
femme,us polo baskets  femme - beige,0.0,0.59,us polo,4.5,beige,1
femme,"geox respira geox b new balu' boy b, baskets basses bébé garçon",0.0,0.0,"geox respira geox b new balu' boy b,",6.5,None,1
femme,us polo chaussure pour femme - vr013-777859vr013,0.4,0.2,us polo,6.1,None,1
femme,megawell basket femme - souple et orthopédique - saumon,0.0,0.0,megawell,4.7,None,1
femme,tony p baskets femme - tissu - rose,0.0,0.43,tony p,2.8,rose,1
femme,be sport basket femme - marron,0.35,0.14,be sport,3.2,marron,1
femme,oggi baskets femmes noir,0.0,0.13,oggi,6.5,noir,1
femme,mizuno baskets unisexe - j1gf161809 - rose,0.43,0.53,mizuno,6.1,rose,1
femme,decathlon baskets femme - running - gris,0.45,0.22,decathlon,3.89,gris,1
femme,decathlon baskets femme - running - gris,0.44000000000000006,0.0,decathlon,3.9,gris,1
femme,decathlon baskets femme - running - gris,0.49000000000000005,0.0,decathlon,3.89,gris,1
femme,nike baskets femme - 749572-407 - bleu,0.35,0.26,nike,8.9,bleu,1
femme,decathlon baskets femme - running - rose,0.0,0.0,decathlon,5.99,rose,1
femme,b3d shoes baskets femme - running - gris,0.5,0.0,b3d shoes,5.5,gris,1
femme,skechers basket femme - burst comfort - bleu marine,0.0,0.26,sketchers,6.999,bleu,1
femme,decathlon baskets femme - running - rose,0.0,0.13,decathlon,5.95,rose,1
femme,reebok basket femme - royal glide syn c4975 orthopédique - bleu,0.1,0.0,reebok,9.8,bleu,1
femme,adidas basket  femme - gv9817 - blanc,0.45999999999999996,0.09,adidas,5.8,blanc,1
femme,adidas basket  femme - gv9819 - turquoi,0.41,0.09,adidas,5.8,None,1
femme,nike basket femme - bq5671-003 - noir,0.5,0.05,nike,7.4,noir,1
femme,zeta basket pour femme souple en maille respirante bleu,0.3,0.53,zeta,1.5,bleu,1
femme,skechers basket femme - s117169/gymt - multicouleur,0.5,0.1,sketchers,8.9,None,1
femme,hi-tec basket femme - a006708/061 - multicouleur,0.37,0.0,hi-tec,5.5,None,1
femme,nike baskets femme - bq3207-2 - noir,0.47000000000000003,0.0,nike,9.2,noir,1
femme,palladium baskets femme - p76837-207-m - marron,0.47000000000000003,0.39,palladium,4.8,marron,1
femme,adidas basket  femme en cuir - gz8082 - blanc,0.5,0.1,adidas,7.9,blanc,1
femme,nike basket femme - bq5671-021 - gris,0.43,0.05,nike,7.4,gris,1
femme,us polo baskets  femme - blanche - 100302735,0.4,0.5,us polo,3.925,blanche,1
femme,peak basket femme  -  ew12478h  - rose,0.0,0.11,peak,8.6,rose,1
femme,nike basket femme - da2776-003 - noir,0.0,0.04,nike,6.5,noir,1
femme,nike baskets femme - bq5671-21 - gris,0.48,0.0,nike,8.3,gris,1
femme,skechers basket femme - s100250/tpe - beige,0.0,0.0,sketchers,11.5,beige,1
femme,nike basket femme - dj2004-100 - blanc,0.0,0.1,nike,10.6,blanc,1
femme,skechers baskets femme reggae fest 2.0 - marron,0.0,0.0,sketchers,12.5,marron,1
femme,skechers baskets femme summits - gris,0.0,0.0,sketchers,9.5,gris,1
femme,adidas basket  femme - gz8068 - blanc,0.0,0.1,adidas,9.7,blanc,1
femme,nike basket femme - bq5448-120 - blanc,0.0,0.05,nike,7.4,blanc,1
femme,nike basket femme - bq5671-004 - gris,0.5,0.1,nike,7.0,gris,1
femme,reebok basket  femme - fx3209 - rose & gris,0.25,0.31,reebok,9.8,gris rose,0
femme,hi-tec basket femme - h007141/070/004 - rose,0.5,0.0,hi-tec,6.5,rose,1
femme,nike basket femme - da2776-601 - rose,0.45999999999999996,0.1,nike,6.1,rose,1
femme,sport basket sneakers san lacé lastiqui pour femme noir,0.1,0.0,sport,3.3,noir,1
femme,sport basket sneakers san lacé lastiqui pour femme bleu,0.47000000000000003,0.0,sport,3.3,bleu,1
femme,reebok basket  femme - fx1814 - rose & gris,0.43,0.24,reebok,7.9,gris rose,0
femme,reebok basket  femme - g58718 - gris,0.5,0.24,reebok,8.4,gris,1
homme,reebok baskets reebok homme - eh2692 - gris foncã©,0.43,0.0,reebok,7.9,gris,1
homme,adidas basket homme - run falcon utra confortable cloudfoam tendance 2021 - noir,0.43,0.29,adidas,8.2,noir,1
homme,kalenji baskets homme - ekiden one man - gris,0.41,0.0,kalenji,3.7,gris,1
homme,asics basket homme patriot 12 - bleu,0.5,0.0,asics,9.5,bleu,1
homme,decathlon baskets homme - newfeel - gris,0.38,0.0,decathlon,3.45,gris,1
homme,under armour basket homme ua charged assert 9 - noir,0.0,0.0,under armour,10.0,noir,1
homme,under armour basket homme ua charged assert 9 - bleu,0.0,0.0,under armour,10.0,bleu,1
homme,adidas basket unisexe tensaur run ultra-légère spécial marche sport longue durée- noir,0.43,0.33,adidas,5.99,noir,1
homme,asics basket homme patriot 12 - noir / blanc,0.0,0.0,asics,9.5,blanc noir,0
homme,adidas basket unisexe tensaur run ultra-légère spécial marche sport longue durée- noir,0.2,0.22,adidas,6.95,noir,1
homme,decathlon baskets homme -  ekiden one man - gris,0.43,0.0,decathlon,3.89,gris,1
homme,decathlon baskets homme - newfeel - gris,0.39,0.09,decathlon,3.1,gris,1
homme,joma baskets running homme - vitaly - gris/bleu,0.42000000000000004,0.2,joma,4.7,None,1
homme,adidas baskets homme fluidflow - blanc,0.0,0.0,adidas,11.0,blanc,1
homme,decathlon baskets homme - newfeel - gris,0.38,0.0,decathlon,3.5,gris,1
homme,reebok baskets homme - vector runner - noir,0.0,0.0,reebok,10.5,noir,1
homme,adidas baskets homme roguera - blanc,0.0,0.0,adidas,8.9,blanc,1
homme,adidas baskets homme roguera - noir,0.0,0.0,adidas,9.5,noir,1
homme,adidas basket homme - galaxy 5 running utra confortable cloudfoam tendance 2021 - bleu,0.3,0.29,adidas,9.8,bleu,1
homme,reebok baskets homme - lite 2.0 - bleu nuit,0.0,0.0,reebok,7.9,bleu,1
homme,mizuno basket wave rider mizuno réf : d1ga1927-13 - homme - bleue,0.0,0.0,mizuno,12.0,None,1
homme,adidas baskets homme roguera - noir,0.0,0.0,adidas,9.8,noir,1
homme,decathlon baskets homme - noir,0.5,0.0,decathlon,8.7,noir,1
homme,decathlon baskets homme - newfeel - gris,0.32999999999999996,0.0,decathlon,3.39,gris,1
homme,decathlon baskets homme -  ekiden one man - gris,0.38,0.0,decathlon,3.89,gris,1
homme,decathlon baskets homme -  ekiden one man - gris,0.5,0.0,decathlon,3.75,gris,1
homme,adidas baskets homme roguera - noir,0.0,0.0,adidas,8.9,noir,1
homme,puma baskets homme - evader xt v 2 - noir,0.0,0.0,puma,10.5,noir,1
homme,hi-tec basket homme - a001743/031 - bleu,0.45,0.0,hi-tec,4.5,bleu,1
homme,decathlon baskets homme - pw 140 - bleu,0.43,0.0,decathlon,5.199,bleu,1
homme,decathlon baskets homme - newfeel stepwalk -  bleu,0.0,0.13,decathlon,3.9,bleu,1
